Batch,GA,ED
0001,1.0000,41.3300
0002,1.0000,40.5550
0003,1.0000,40.6400
0004,1.0000,40.5300
0005,1.0000,40.1780
0006,1.0000,40.1400
0007,1.0000,40.0657
0008,1.0000,38.5850
0009,1.0000,38.6567
0010,1.0000,38.6670
0011,1.0000,38.8127
0012,1.0000,38.9575
0013,1.0000,39.0608
0014,1.0000,39.0679
0015,1.0000,39.1833
0016,1.0000,39.3156
0017,1.0000,39.3576
0018,0.9972,39.3489
0019,0.9974,39.4074
0020,0.9975,39.4290
