Batch,GA,ED
0001,0.5200,34.9600
0002,0.5350,33.8450
0003,0.5933,30.4167
0004,0.5900,29.1800
0005,0.5920,28.6220
0006,0.5583,29.6083
0007,0.5214,31.1386
0008,0.4587,32.4838
0009,0.4844,32.0100
0010,0.5250,31.4490
0011,0.5391,32.3155
0012,0.5775,31.8250
0013,0.6100,31.3592
0014,0.6379,30.9464
0015,0.6620,30.6007
0016,0.6831,30.3269
0017,0.7018,29.9959
0018,0.7183,29.7872
0019,0.7332,29.5784
0020,0.7465,29.4065
