Batch,GA,ED
0001,1.0000,33.8600
0002,1.0000,33.8350
0003,1.0000,34.1233
0004,1.0000,33.9000
0005,1.0000,33.6740
0006,1.0000,33.5600
0007,1.0000,33.6871
0008,1.0000,33.5475
0009,1.0000,33.6511
0010,1.0000,33.6460
0011,1.0000,33.6618
0012,1.0000,33.6292
0013,1.0000,33.6338
0014,1.0000,33.6643
0015,1.0000,33.6427
0016,1.0000,33.6838
0017,1.0000,33.6582
0018,1.0000,33.6717
0019,1.0000,33.6989
0020,1.0000,33.7085
