Batch,GA,ED
0001,0.1900,31.2600
0002,0.1950,31.7750
0003,0.2033,31.7433
0004,0.1500,30.2500
0005,0.1220,32.1600
0006,0.1400,32.1917
0007,0.1500,31.7786
0008,0.1588,31.6337
0009,0.1411,32.0556
0010,0.1430,31.8960
0011,0.1491,31.9573
0012,0.1450,31.9100
0013,0.1515,31.9085
0014,0.1507,31.8214
0015,0.1567,31.8640
0016,0.1556,31.9387
0017,0.1571,32.1124
0018,0.1561,32.2422
0019,0.1553,32.2279
0020,0.1580,32.2195
