Batch,GA,ED
0001,0.8200,30.7000
0002,0.6250,31.6800
0003,0.6000,31.5167
0004,0.5875,30.4225
0005,0.5720,29.8220
0006,0.5950,29.0433
0007,0.6171,28.5157
0008,0.6138,28.4138
0009,0.6100,28.1944
0010,0.6080,28.2810
0011,0.6082,28.6691
0012,0.6075,28.9258
0013,0.6115,29.1954
0014,0.6157,29.4400
0015,0.6193,29.6660
0016,0.6219,29.8700
0017,0.6241,30.0606
0018,0.6267,30.2161
0019,0.6258,30.1726
0020,0.6245,30.1410
