Batch,GA,ED
0001,0.7100,32.5800
0002,0.7000,30.3000
0003,0.7100,30.4467
0004,0.7100,30.1925
0005,0.7100,30.1100
0006,0.7083,29.9750
0007,0.7043,30.1229
0008,0.7037,29.9075
0009,0.7089,29.6989
0010,0.7120,30.0150
0011,0.7145,29.9927
0012,0.7067,29.7725
0013,0.6977,29.3892
0014,0.6936,29.0764
0015,0.6967,29.0433
0016,0.7031,29.0038
0017,0.7076,29.0412
0018,0.7128,29.0278
0019,0.7172,29.0278
0020,0.7282,29.0278
