Batch,GA,ED
0001,0.4600,20.7500
0002,0.2450,21.1350
0003,0.2433,21.6833
0004,0.2550,22.0075
0005,0.2420,21.9760
0006,0.2450,22.1100
0007,0.2471,22.0400
0008,0.2450,21.9688
0009,0.2422,21.9189
0010,0.2410,21.8030
0011,0.2327,21.6391
0012,0.2350,21.6400
0013,0.2369,21.6577
0014,0.2364,21.5793
0015,0.2347,21.5327
0016,0.2369,21.6019
0017,0.2365,21.5959
0018,0.2361,21.5328
0019,0.2368,21.5800
0020,0.2375,21.6225
