Batch,GA,ED
0001,1.0000,15.9800
0002,1.0000,17.9150
0003,1.0000,17.8867
0004,1.0000,17.3200
0005,1.0000,16.9300
0006,1.0000,17.0283
0007,1.0000,16.9486
0008,1.0000,16.8762
0009,1.0000,16.8756
0010,1.0000,16.7550
0011,1.0000,16.7091
0012,1.0000,16.6158
0013,1.0000,16.6138
0014,1.0000,16.6779
0015,1.0000,16.6820
0016,1.0000,16.5888
0017,1.0000,16.5065
0018,1.0000,16.4661
0019,1.0000,16.4805
0020,1.0000,16.4965
