Batch,GA,ED
0001,0.9800,30.5400
0002,0.9900,31.0100
0003,0.9933,31.2333
0004,0.9425,32.1225
0005,0.8560,32.8900
0006,0.7983,33.6783
0007,0.7586,34.3643
0008,0.7262,34.7388
0009,0.7022,35.2856
0010,0.6910,35.1680
0011,0.7136,34.7582
0012,0.7358,34.6125
0013,0.7562,34.2754
0014,0.7736,34.1450
0015,0.7687,34.1720
0016,0.7519,34.4300
0017,0.7382,34.5482
0018,0.7261,34.6939
0019,0.7142,34.9042
0020,0.7040,35.1225
