Batch,GA,ED
0001,1.0000,21.5300
0002,1.0000,21.0750
0003,1.0000,21.1133
0004,1.0000,20.7650
0005,1.0000,21.2180
0006,1.0000,22.9867
0007,0.8486,23.0943
0008,0.8612,22.7825
0009,0.8511,22.6644
0010,0.8480,22.5470
0011,0.8427,22.2800
0012,0.8375,22.2133
0013,0.8423,22.3700
0014,0.8514,22.9964
0015,0.8493,23.4267
0016,0.8475,23.2506
0017,0.8476,23.1618
0018,0.8433,22.9844
0019,0.8358,22.9163
0020,0.8360,23.4530
