Batch,GA,ED
0001,0.8600,28.4500
0002,0.8400,27.7450
0003,0.8533,30.2933
0004,0.8450,29.3450
0005,0.8680,30.2620
0006,0.8567,29.5500
0007,0.8143,28.8471
0008,0.8250,28.3212
0009,0.8167,27.9444
0010,0.8190,27.3760
0011,0.8300,27.1745
0012,0.8442,28.4542
0013,0.7600,29.6154
0014,0.7671,29.0686
0015,0.7827,28.7413
0016,0.7850,28.4537
0017,0.7876,28.2688
0018,0.7917,28.2122
0019,0.8005,28.3726
0020,0.8030,27.6465
