Batch,GA,ED
0001,0.8200,32.5500
0002,0.4550,32.6400
0003,0.4833,31.1500
0004,0.4900,31.2050
0005,0.4900,31.9640
0006,0.4933,33.4667
0007,0.4943,34.5314
0008,0.5025,34.6550
0009,0.5089,34.7511
0010,0.5090,34.5090
0011,0.5018,34.2591
0012,0.4933,34.0708
0013,0.4808,34.0500
0014,0.4707,34.0421
0015,0.4613,33.9853
0016,0.4531,33.9131
0017,0.4471,33.8253
0018,0.4406,33.8867
0019,0.4374,33.9079
0020,0.4355,33.8515
