Batch,GA,ED
0001,0.6900,21.6800
0002,0.7050,25.3350
0003,0.7933,24.0067
0004,0.8325,23.7850
0005,0.8660,23.3200
0006,0.8500,23.7417
0007,0.8443,24.1471
0008,0.8612,22.6650
0009,0.8656,23.7956
0010,0.8790,25.3070
0011,0.8627,27.6018
0012,0.8742,29.1242
0013,0.8838,30.2815
0014,0.8921,31.2614
0015,0.8993,32.1060
0016,0.9056,32.9981
0017,0.9112,33.6747
0018,0.9161,34.3089
0019,0.9205,34.9358
0020,0.9245,35.4220
