Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,1.0000
0006,1.0000
0007,1.0000
0008,1.0000
0009,1.0000
0010,1.0000
0011,1.0000
0012,1.0000
0013,1.0000
0014,1.0000
0015,1.0000
0016,1.0000
0017,1.0000
0018,1.0000
0019,1.0000
0020,1.0000
