Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,1.0000
0006,0.9967
0007,0.9886
0008,0.9888
0009,0.9900
0010,0.9910
0011,0.9918
0012,0.9925
0013,0.9931
0014,0.9936
0015,0.9913
0016,0.9919
0017,0.9924
0018,0.9928
0019,0.9932
0020,0.9900
