Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,1.0000
0006,1.0000
0007,1.0000
0008,1.0000
0009,1.0000
0010,1.0000
0011,1.0000
0012,0.5150
0013,0.5185
0014,0.5143
0015,0.5220
0016,0.5169
0017,0.5165
0018,0.5178
0019,0.5242
0020,0.5265
