Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,1.0000
0006,1.0000
0007,1.0000
0008,1.0000
0009,1.0000
0010,1.0000
0011,1.0000
0012,0.9783
0013,0.9769
0014,0.9771
0015,0.9493
0016,0.9419
0017,0.9453
0018,0.9483
0019,0.9511
0020,0.9535
