Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,0.9840
0006,0.9867
0007,0.9886
0008,0.9900
0009,0.9911
0010,0.9920
0011,0.9927
0012,0.9933
0013,0.9892
0014,0.9886
0015,0.9840
0016,0.9850
0017,0.9859
0018,0.9867
0019,0.9863
0020,0.9870
