Batch,GA
0001,0.8800
0002,0.9400
0003,0.9600
0004,0.9700
0005,0.9760
0006,0.9800
0007,0.9829
0008,0.9712
0009,0.9744
0010,0.9770
0011,0.9736
0012,0.9758
0013,0.9777
0014,0.9793
0015,0.9807
0016,0.9819
0017,0.9829
0018,0.9839
0019,0.9847
0020,0.9855
