Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,1.0000
0006,1.0000
0007,1.0000
0008,1.0000
0009,1.0000
0010,1.0000
0011,1.0000
0012,1.0000
0013,0.9208
0014,0.9264
0015,0.9313
0016,0.9294
0017,0.9306
0018,0.9344
0019,0.9379
0020,0.9410
