Batch,GA
0001,1.00000
0002,0.95500
0003,0.68333
0004,0.71750
0005,0.77000
0006,0.80667
0007,0.83286
0008,0.85375
0009,0.87000
0010,0.88300
0011,0.89364
0012,0.90250
0013,0.91000
0014,0.91643
0015,0.91133
0016,0.91687
0017,0.92176
0018,0.92611
0019,0.93000
0020,0.93350
