Batch,GA
0001,1.00000
0002,0.99000
0003,0.98667
0004,0.98750
0005,0.98000
0006,0.98000
0007,0.98143
0008,0.98125
0009,0.98111
0010,0.98100
0011,0.98182
0012,0.98167
0013,0.98154
0014,0.98143
0015,0.98133
0016,0.98125
0017,0.98118
0018,0.98167
0019,0.98158
0020,0.98150
