Batch,GA
0001,1.0000
0002,1.0000
0003,1.0000
0004,1.0000
0005,1.0000
0006,1.0000
0007,1.0000
0008,1.0000
0009,1.0000
0010,0.9980
0011,0.9982
0012,0.9983
0013,0.9985
0014,0.9986
0015,0.9987
0016,0.9988
0017,0.9988
0018,0.9989
0019,0.9989
0020,0.9990
