Batch,GA
0001,0.8200
0002,0.7950
0003,0.8533
0004,0.8425
0005,0.8620
0006,0.8533
0007,0.8657
0008,0.8325
0009,0.8100
0010,0.8040
0011,0.8045
0012,0.8133
0013,0.8138
0014,0.8143
0015,0.8153
0016,0.8119
0017,0.8000
0018,0.8061
0019,0.8026
0020,0.8055
