Batch,GA,ED
0001,0.9500,32.3300
0002,0.9750,32.4950
0003,0.9833,32.5400
0004,0.9825,32.7750
0005,0.9860,32.7560
0006,0.9850,32.8517
0007,0.9829,32.8600
0008,0.7812,34.3450
0009,0.7889,34.1967
0010,0.7830,34.3770
0011,0.7627,35.0982
0012,0.7608,35.1508
0013,0.7585,35.2915
0014,0.7607,35.2514
0015,0.7600,35.3300
0016,0.7488,35.8531
0017,0.7500,35.9365
0018,0.6089,35.9111
0019,0.6089,35.9763
0020,0.5985,36.5800

