Batch,GA,ED
0001,1.0000,43.7500
0002,0.9900,40.8150
0003,0.9933,44.4133
0004,0.9900,42.2225
0005,0.9920,42.6800
0006,0.9933,43.2283
0007,0.9943,42.6014
0008,0.9925,41.0525
0009,0.9044,40.2078
0010,0.9020,38.8910
0011,0.9073,37.9000
0012,0.9150,39.7167
0013,0.8338,41.6900
0014,0.8400,40.4286
0015,0.8507,39.3160
0016,0.8512,38.6550
0017,0.8535,38.3571
0018,0.8572,38.0278
0019,0.8637,38.0621
0020,0.7040,37.7480
