Batch,GA,ED
0001,1.0000,31.5500
0002,1.0000,31.4150
0003,1.0000,31.2867
0004,1.0000,31.5750
0005,0.9960,31.8900
0006,0.9300,34.4967
0007,0.7686,35.5243
0008,0.7913,35.7563
0009,0.7889,35.3433
0010,0.7920,34.9070
0011,0.7918,34.5427
0012,0.7908,34.3817
0013,0.7931,34.7415
0014,0.7843,35.4464
0015,0.6420,35.8680
0016,0.6406,35.5706
0017,0.6394,35.3806
0018,0.6339,35.2233
0019,0.6253,35.1284
0020,0.6160,35.6715
